Model,Reference,Type,Acceptable Featurizers,Backend,Comment
ScScoreModel,`ref <https://pubs.acs.org/doi/abs/10.1021/acs.jcim.7b00622>`_,Classifier,CircularFingerprint ,Keras,
AtomicConvModel,`ref <https://arxiv.org/abs/1703.10603>`_,Classifier/ Regressor,ComplexNeighborListFragmentAtomicCoordinates,Keras,
AttentiveFPModel,`ref <https://pubs.acs.org/doi/10.1021/acs.jmedchem.9b00959>`_,Classifier/ Regressor,MolGraphConvFeaturizer,PyTorch,
ChemCeption,`ref <https://arxiv.org/abs/1706.06689>`_,Classifier/ Regressor,SmilesToImage,Keras,
DAGModel,`ref <https://pubs.acs.org/doi/abs/10.1021/ci400187y>`_,Classifier/ Regressor,ConvMolFeaturizer,Keras,use DAGTransformer
GATModel,`ref <https://arxiv.org/abs/1710.10903>`_,Classifier/ Regressor,MolGraphConvFeaturizer,DGL/PyTorch,
GCNModel,`ref <https://arxiv.org/abs/1609.02907>`_,Classifier/ Regressor,MolGraphConvFeaturizer,DGL/PyTorch,
GraphConvModel,`ref <https://arxiv.org/abs/1509.09292>`_,Classifier/ Regressor,ConvMolFeaturizer,Keras,
MEGNetModel,`ref <https://arxiv.org/abs/1812.05055>`_,Classifier/ Regressor,,PyTorch/PyTorch Geometric,
MPNNModel,`ref <https://arxiv.org/abs/1704.01212>`_,Classifier/ Regressor,MolGraphConvFeaturizer,DGL/PyTorch,
PagtnModel,`ref <https://arxiv.org/abs/1905.12712>`_,Classifier/ Regressor,PagtnMolGraphFeaturizer MolGraphConvFeaturizer,DGL/PyTorch,
Smiles2Vec,`ref <https://arxiv.org/abs/1712.02034>`_,Classifier/ Regressor,SmilesToSeq,,Keras/PyTorch,
TextCNNModel,`ref <https://arxiv.org/abs/1705.10843>`_,Classifier/ Regressor,,Keras/PyTorch,
DTNNModel,`ref <https://arxiv.org/abs/1609.08259>`_,Regressor,CoulombMatrix,PyTorch,
MATModel,`ref <https://arxiv.org/abs/2002.08264>`_,Regressor,MATFeaturizer,PyTorch,
WeaveModel,`ref <https://arxiv.org/abs/1603.00856>`_,Regressor,WeaveFeaturizer,Keras,
BasicMolGANModel,`ref <https://arxiv.org/abs/1805.11973>`_,Generator,MolGanFeaturizer,Keras,fit method: :code:`fit_gan`,
DMPNNModel,`ref <https://arxiv.org/pdf/1904.01561.pdf>`_,Classifier/ Regressor,DMPNNFeaturizer,PyTorch
InfoGraph,`ref <https://arxiv.org/abs/1908.01000>`_,Classifier/ Regressor,MolGraphConvFeaturizer,PyTorch
InfoGraphStar,`ref <https://arxiv.org/abs/1908.01000>`_,Classifier/ Regressor,MolGraphConvFeaturizer,PyTorch
GNNModular,`ref <https://arxiv.org/abs/1905.12265>`_,Classifier/ Regressor,SNAPFeaturizer,PyTorch
InfoMax3DModular,`ref <https://arxiv.org/abs/2110.04126>`_,Unsupervised,RDKitConformerFeaturizer,PyTorch
Chemberta, `ref <https://arxiv.org/abs/2209.01712>`_,Classifier/ Regressor, RobertaTokenizer, PyTorch
MoLFormer, `ref <https://arxiv.org/pdf/2106.09553>`_,Classifier/ Regressor, DummyFeaturizer, PyTorch
ProgressiveMultitaskModel, `ref <https://arxiv.org/abs/1606.04671>`_,Classifier/ Regressor, CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,PyTorch
